Datetime,USGS_flow,variable,USGS_ID,measurement_unit,qualifiers,series
2016-04-20,381.16666,streamflow,10136600,ft3/s,['A'],0
2016-04-21,439.0,streamflow,10136600,ft3/s,['A'],0
2016-04-22,512.94794,streamflow,10136600,ft3/s,['A'],0
2016-04-23,604.875,streamflow,10136600,ft3/s,['A'],0
2016-04-24,851.5833,streamflow,10136600,ft3/s,['A'],0
2016-04-25,643.76044,streamflow,10136600,ft3/s,['A'],0
2016-04-26,600.9375,streamflow,10136600,ft3/s,['A'],0
2016-04-27,564.67706,streamflow,10136600,ft3/s,['A'],0
2016-04-28,536.84375,streamflow,10136600,ft3/s,['A'],0
2016-04-29,487.16666,streamflow,10136600,ft3/s,['A'],0
2016-04-30,440.0,streamflow,10136600,ft3/s,['A'],0
2016-05-01,401.65625,streamflow,10136600,ft3/s,['A'],0
2016-05-02,356.5,streamflow,10136600,ft3/s,['A'],0
2016-05-03,326.5625,streamflow,10136600,ft3/s,['A'],0
2016-05-04,340.97916,streamflow,10136600,ft3/s,['A'],0
2016-05-05,413.14584,streamflow,10136600,ft3/s,['A'],0
2016-05-06,516.0625,streamflow,10136600,ft3/s,['A'],0
2016-05-07,654.23956,streamflow,10136600,ft3/s,['A'],0
2016-05-08,649.53125,streamflow,10136600,ft3/s,['A'],0
2016-05-09,693.86456,streamflow,10136600,ft3/s,['A'],0
2016-05-10,729.625,streamflow,10136600,ft3/s,['A'],0
2016-05-11,591.80206,streamflow,10136600,ft3/s,['A'],0
2016-05-12,485.0521,streamflow,10136600,ft3/s,['A'],0
2016-05-13,422.0,streamflow,10136600,ft3/s,['A'],0
2016-05-14,395.1354,streamflow,10136600,ft3/s,['A'],0
2016-05-15,398.52084,streamflow,10136600,ft3/s,['A'],0
2016-05-16,442.875,streamflow,10136600,ft3/s,['A'],0
2016-05-17,443.33334,streamflow,10136600,ft3/s,['A'],0
2016-05-18,386.0625,streamflow,10136600,ft3/s,['A'],0
2016-05-19,326.28125,streamflow,10136600,ft3/s,['A'],0
2016-05-20,467.41666,streamflow,10136600,ft3/s,['A'],0
2016-05-21,493.91666,streamflow,10136600,ft3/s,['A'],0
2016-05-22,517.96875,streamflow,10136600,ft3/s,['A'],0
2016-05-23,451.2604,streamflow,10136600,ft3/s,['A'],0
2016-05-24,368.47916,streamflow,10136600,ft3/s,['A'],0
2016-05-25,314.64584,streamflow,10136600,ft3/s,['A'],0
2016-05-26,273.89584,streamflow,10136600,ft3/s,['A'],0
2016-05-27,244.57292,streamflow,10136600,ft3/s,['A'],0
2016-05-28,260.0,streamflow,10136600,ft3/s,['A'],0
2016-05-29,282.54166,streamflow,10136600,ft3/s,['A'],0
2016-05-30,276.34375,streamflow,10136600,ft3/s,['A'],0
2016-05-31,212.86458,streamflow,10136600,ft3/s,['A'],0
2016-06-01,195.02083,streamflow,10136600,ft3/s,['A'],0
2016-06-02,195.98958,streamflow,10136600,ft3/s,['A'],0
2016-06-03,202.96875,streamflow,10136600,ft3/s,['A'],0
2016-06-04,196.35417,streamflow,10136600,ft3/s,['A'],0
2016-06-05,185.01042,streamflow,10136600,ft3/s,['A'],0
